,Ids,Result
0,25672,0.0
1,59964,1.0
2,66230,2.0
3,50801,2.0
4,83307,3.0
5,91787,6.0
6,58429,8.0
7,99131,6.0
8,80125,5.0
9,25082,0.0
10,37535,3.0
11,28128,4.0
12,52636,4.0
13,63925,6.0
14,43271,8.0
15,38036,5.0
16,54620,4.0
17,61416,3.0
18,74550,6.0
19,40888,4.0
20,49889,4.0
21,58702,4.0
22,38675,2.0
23,89732,1.0
24,65266,5.0
25,69186,9.0
26,67426,8.0
27,34744,4.0
28,21450,4.0
29,49381,1.0
30,62348,7.0
31,76542,7.0
32,63348,7.0
33,22624,8.0
34,81445,1.0
35,32572,0.0
36,40068,9.0
37,30250,9.0
38,70825,6.0
39,84690,8.0
40,20991,2.0
41,56127,0.0
42,86208,4.0
43,57617,6.0
44,81944,2.0
45,65695,0.0
46,74511,3.0
47,35715,3.0
48,24710,2.0
49,74948,3.0
50,42558,2.0
51,23142,4.0
52,61813,9.0
53,73095,3.0
54,60517,0.0
55,83239,9.0
56,27989,9.0
57,88497,4.0
58,80064,0.0
59,59218,3.0
60,70938,4.0
61,79502,5.0
62,67337,4.0
63,66989,6.0
64,42838,1.0
65,45432,1.0
66,99950,0.0
67,73503,9.0
68,74623,5.0
69,86195,2.0
70,85871,7.0
71,89572,1.0
72,47700,4.0
73,69955,0.0
74,73068,5.0
75,68676,7.0
76,97211,1.0
77,51436,6.0
78,76766,1.0
79,56592,3.0
80,54091,9.0
81,89080,8.0
82,91436,1.0
83,31162,6.0
84,37787,4.0
85,59003,8.0
86,58444,9.0
87,94671,4.0
88,96090,1.0
89,48650,6.0
90,86683,3.0
91,28923,4.0
92,80490,4.0
93,33243,2.0
94,33376,5.0
95,70098,4.0
96,32859,2.0
97,27828,7.0
98,86696,7.0
99,22348,3.0
100,97292,9.0
101,92242,3.0
102,85423,9.0
103,66808,8.0
104,20148,8.0
105,69852,2.0
106,49188,3.0
107,46819,9.0
108,90676,2.0
109,64255,7.0
110,74085,5.0
111,84262,7.0
112,23433,4.0
113,64682,4.0
114,89730,7.0
115,39257,5.0
116,85277,0.0
117,68597,5.0
118,58172,7.0
119,74344,1.0
120,76740,8.0
121,29923,5.0
122,55642,4.0
123,60197,4.0
124,56643,7.0
125,59965,0.0
126,75819,5.0
127,33792,5.0
128,81470,0.0
129,27589,3.0
130,35044,1.0
131,37402,7.0
132,83100,9.0
133,47056,4.0
134,76274,9.0
135,26512,6.0
136,26450,4.0
137,39209,2.0
138,29741,0.0
139,65201,4.0
140,22912,3.0
141,41997,3.0
142,34632,3.0
143,61348,2.0
144,89061,2.0
145,37590,2.0
146,30417,3.0
147,45608,0.0
148,74383,1.0
149,47710,3.0
150,46217,4.0
151,91770,3.0
152,40691,3.0
153,94476,1.0
154,63619,9.0
155,99108,3.0
156,66297,3.0
157,71727,3.0
158,40577,9.0
159,71901,5.0
160,95169,6.0
161,44394,7.0
162,25746,7.0
163,93828,3.0
164,74267,2.0
165,48600,4.0
166,91562,0.0
167,83633,6.0
168,67564,7.0
169,60624,2.0
170,48978,2.0
171,75916,8.0
172,85258,9.0
173,33766,0.0
174,50738,2.0
175,96565,4.0
176,77683,6.0
177,81255,5.0
178,33909,7.0
179,72087,9.0
180,49847,9.0
181,72195,1.0
182,34951,3.0
183,56816,9.0
184,92917,1.0
185,44144,7.0
186,92202,5.0
187,56928,6.0
188,77278,0.0
